Number,Name,Address,Latitude,Longitude
59,LIDL BEŽIGRAD,Bežigrad 11,46.063797,14.506854
54,ŠMARTINSKI PARK,Smartinska cesta 58,46.065206,14.529911
45,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,Savska cesta 1,46.062475,14.524321
68,ČRNUČE,Dunajska cesta,46.102446,14.530213
11,VILHARJEVA CESTA,Vilharjeva cesta 23,46.06005,14.51302
10,MASARYKOVA DDC,Masarykova cesta 14,46.05763,14.514264
2,POGAČARJEV TRG-TRŽNICA,Pogačarjev trg 3,46.051093,14.507186
4,CANKARJEVA UL.-NAMA,Cankarjeva cesta 1,46.052431,14.503257
41,ANTONOV TRG,Tržaška 91,46.041753,14.477016
73,PRUŠNIKOVA,Prušnikova ulica,46.090608,14.471637
76,TEHNOLOŠKI PARK,Tehnološki park,46.04843,14.461086
66,KOSEŠKI BAJER,Koseška cesta,46.068443,14.470913
19,TIVOLI,Celovška cesta 26,46.05952,14.4982
25,TRŽNICA MOSTE,Zaloška cesta 54,46.055801,14.534156
6,GRUDNOVO NABREŽJE-KARLOVŠKA C.,Grudnovo nabrežje 3,46.045748,14.506196
51,LIDL-LITIJSKA CESTA,Litijska cesta 53,46.047689,14.547416
31,ŠPORTNI CENTER STOŽICE,Vojkova cesta 91,46.08259,14.52016
22,ŠPICA,Prule 8,46.040213,14.512044
80,ROŠKA - STRELIŠKA,Roška cesta,46.045,14.51846
8,BAVARSKI DVOR,Slovenska cesta 55c,46.05682,14.50551
20,STARA CERKEV,Celovška cesta 69,46.06342,14.494588
46,SITULA,Šmartinska cesta 28,46.059433,14.52051
17,ILIRSKA ULICA,Ilirska ulica 1,46.053144,14.513479
72,LIDL - RUDNIK,Betettova cesta,46.020012,14.532479
64,KOPALIŠČE KOLEZIJA,Gunduličeva ulica,46.042867,14.495239
74,POVŠETOVA - KAJUHOVA,Povšetova - Kajuhova,46.051512,14.539272
29,DUNAJSKA C.-PS MERCATOR,Dunajska cesta 105,46.074193,14.511134
34,CITYPARK,Citypark - Šmartinska 152 g,46.068805,14.546257
32,KOPRSKA ULICA,Koprska ulica 98,46.033408,14.482468
30,LIDL - VOJKOVA CESTA,,46.07589,14.52011
55,POLJANSKA-POTOČNIKOVA,Poljanska cesta 50,46.048982,14.522709
57,POVŠETOVA-GRABLOVIČEVA,Grabloviceva ulica 60,46.051863,14.530349
12,PARK NAVJE-ŽELEZNA CESTA,Železna cesta 18,46.06361,14.51315
71,ZALOG,Zaloška cesta,46.06043,14.613797
53,CESTA NA ROŽNIK,Cesta na Rožnik 1,46.053241,14.486206
48,HOFER-KAJUHOVA,Kajuhova ulica 42,46.056405,14.540901
27,DUNAJSKA C.-PS PETROL,Dunajska cesta 50,46.065136,14.509112
69,STUDENEC,Zaloška cesta,46.054615,14.576031
14,PARKIRIŠČE NUK 2-FF,Zoisova cesta 2,46.046377,14.501256
42,BRATOVŠEVA PLOŠČAD,Dunajska 211,46.08929,14.513751
3,KONGRESNI TRG-ŠUBIČEVA ULICA,Kongresni trg 3,46.050388,14.504623
43,BS4-STOŽICE,Dunajska 186,46.086761,14.514151
78,GERBIČEVA - ŠPORTNI PARK SVOBODA,Gerbičeva ulica 61,46.039384,14.485458
52,ŽIVALSKI VRT,Večna pot 70,46.052454,14.472149
82,VOKA - SLOVENČEVA,Vodovodna cesta 90,46.075207,14.504734
35,BTC CITY/DVORANA A,BTC City/Dvorana A,46.065297,14.543996
37,TRNOVO,TRNOVO,46.03784,14.50001
38,P+R BARJE,P+R BARJE,46.02749,14.49958
26,ROŽNA DOLINA-ŠKRABČEVA UL.,Škrabčeva ulica 2,46.051439,14.49273
21,KINO ŠIŠKA,Celovška cesta 111c,46.06928,14.48971
49,BRODARJEV TRG,Nove Fuzine 8,46.054398,14.553319
24,ZALOŠKA C.-GRABLOVIČEVA C.,Zaloška cesta 16,46.05441,14.52978
79,DOLENJSKA C. - STRELIŠČE,Dolenjska c. 11,46.038866,14.517605
47,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,Jakčeva ulica 37,46.053047,14.545125
75,SOSESKA NOVO BRDO,Pot rdečega križa,46.045617,14.462281
58,TRŽNICA KOSEZE,Vodnikova cesta 187,46.074315,14.475483
62,ALEJA - CELOVŠKA CESTA,Aleja - Celovška Cesta,46.077302,14.482581
33,MERCATOR CENTER ŠIŠKA,Cesta Ljubljanske brigade 33,46.087079,14.475439
16,GH ŠENTPETER-NJEGOŠEVA C.,Zaloška cesta 1,46.05257,14.51928
84,HOFER - POLJE,Polje 51,46.053718,14.589284
65,VIŠKO POLJE,Cesta na Brdo,46.046189,14.469037
40,BONIFACIJA,Tržaška 123,46.039641,14.472664
39,P + R DOLGI MOST,P+R Dolgi most,46.037003,14.465229
67,DRAVLJE,Celovška cesta,46.07984,14.479952
70,POLJE,Zadobrovška cesta,46.05722,14.583537
83,SUPERNOVA LJUBLJANA - RUDNIK,Jurčkova 223,46.021586,14.536745
56,SREDNJA FRIZERSKA ŠOLA,Litostrojska cesta 53,46.080522,14.491439
9,TRG OF-KOLODVORSKA UL.,Trg OF 12,46.057421,14.510265
13,TRG MDB,Trg MDB 9,46.047565,14.495687
18,TRŽAŠKA C.-ILIRIJA,Tržaška cesta 37,46.044629,14.486699
1,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,Prešernov trg 6,46.051367,14.506542
60,MERCATOR MARKET - CELOVŠKA C. 163,Celovška 163,46.073264,14.485942
44,SAVSKO NASELJE 2-LINHARTOVA CESTA,Topniška 54,46.064546,14.518013
5,BREG,Breg 20,46.046498,14.505148
36,BTC CITY ATLANTIS,BTC City Atlantis,46.063081,14.547851
63,IKEA,Švedska ulica 6,46.065175,14.539537
7,MIKLOŠIČEV PARK,Miklošičeva cesta 20,46.054168,14.50706
23,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,Devinska ulica 1a,46.04081,14.49951
81,LEK - VEROVŠKOVA,Verovškova 57,46.076856,14.500222
15,AMBROŽEV TRG,Poljanska cesta 20c,46.049877,14.516308
77,VOJKOVA - GASILSKA BRIGADA,Vojkova cesta,46.068727,14.516858
61,RAKOVNIK,Rakovnik,46.036284,14.522948
50,PREGLOV TRG,Nove Fuzine 33,46.054554,14.55908
28,PLEČNIKOV STADION,Dunajska cesta 70,46.06942,14.51052